,name,ratings,no_of_ratings,discount_price,actual_price
81,"Himalaya Herbals Under Eye Cream, 15ml",3.8,6804.0,168.0,200.0
82,"MamyPoko Pants Extra Absorb XL32,Unisex Baby, Pack of 32",4.2,107.0,575.0,799.0
83,Wembley Dancing Monkey Musical Toys for Kids Baby Spinning Rolling Doll Tumble Toy with Voice Control Musical Light and So...,3.6,197.0,399.0,699.0
84,"Johnson's Baby Lotion For New Born, 500ml",4.5,9538.0,347.0,375.0
85,"LuvLap 100% Cotton Muslin Baby Swaddle Set, Printed Muslin Swaddle Wrap for New Born Baby, Size-120cm x 100cm, 0-18 Mont...",4.5,5228.0,639.0,839.0
86,"The Moms Co. Tear-Free Natural Baby Body Wash with Calendula, Avocado Oils & USDA-Certified Organic Oils Like Argan, Chamo...",4.4,3966.0,489.0,699.0
87,"Luv Lap Baby Diaper Pants S Size (Small) , with Aloe Vera Lotion for rash protection, Pack of 78 Count, with upto 12Hr pro...",4.0,12797.0,836.0,999.0
88,"Luv Lap Turtle Shaped Baby Manual Toothbrush & Toddler Toothbrush, Extra Soft with 10,000 Ultra Soft Floss Bristle for Bab...",4.2,382.0,65.0,79.0
89,"Luv Lap Washable Maternity Nursing Breast Pads, 6 Pcs, Reusable, Leak-proof",3.9,3155.0,289.0,349.0
90,Hamdard Safi Blood Purifier Syrup Skin Care Pimple Free for Natural Glowing Skin 500 ml,4.2,1437.0,208.0,230.0
91,"Luv Lap LuvLap Steel Feeding Baby Bottle, BPA Free Anti Colic, Made of SS304 Steel, Handle, 3M+ - 240 ml",4.1,1399.0,565.0,599.0
92,Mamaearth Aqua Glow Gel Face Moisturizer With Himalayan Thermal Water and Hyaluronic Acid for 72 Hours Hydration 100ml,4.2,963.0,593.0,699.0
93,"LuvLap Super Soft Baby Toothbrush, Ultra Soft baby toothbrush with High Density unique 10,000+ Floss Bristles for ultimate...",4.3,105.0,148.0,179.0
94,Wowper Fresh Baby Diaper Pants | Medium Size Diapers | Diapers with Wetness Indicator | Upto 10 Hrs Absorption | 7-12 Kg |...,3.7,3383.0,545.0,798.0
95,"Aveeno Baby Soothing Relief Moisture Cream Fragrance Free, 227g",4.4,5961.0,934.0,999.0
96,"Little Angel Extra Dry Baby Pants Diaper, Small (S) Size, 120 Count, Super Absorbent Core Up to 12 Hrs. Protection, Soft E...",4.0,46531.0,893.0,1498.0
97,"BLOOMBUDDY Organic Growth Booster Fertilizer Manure for plants (1 KG, Granules), Pack of 1",4.0,3772.0,312.0,2475.0
98,Classic Mosquito Net for Double Bed | Queen Size Foldable Machardani | Polyester 30GSM Strong Net | PVC Coated Corrosion R...,4.2,61552.0,899.0,2000.0
99,Wowper Fresh Baby Diaper Pants | Extra Large Size Diapers | Diapers with Wetness Indicator | Upto 10 Hrs Absorption | 14-1...,3.7,3383.0,536.0,798.0
100,Philips Avent Natural 2. 0 Pink Feeding Bottle 260ml SCF034/10,4.5,1129.0,450.0,575.0
101,"Luv Lap Jungle Time Double Sided Water Proof Baby Play Mat, Reversible Play mats for Kids, Baby Carpet, for Crawling Baby,...",3.7,92.0,1325.0,1599.0
102,Babique Pluto Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (30 cm),4.2,1263.0,309.0,899.0
103,"Colgate Kids Toothpaste with 0% Artificial Preservatives, Colours, Sweeteners for Whitening (6-9 Years, Natural Strawberry...",4.2,1209.0,132.0,195.0
104,"Luv Lap Baby Safety Electrical Socket Plug Cover Guards, White,5Pcs",4.2,1536.0,129.0,179.0
