name,ratings,no_of_ratings,discount_price,actual_price
Sebamed Baby Powder 400g |With Olive Oil and Allantoin| For delicate skin,4.5,"9,830",912,"1,040"
"Atogla Curatio Lotion for Baby, 400ml Intense Moisturizing Baby Lotion for All Skin Types, Protects Against Rashes & Preve...",4.4,39,797,950
"BeyBee Bed Protector Sheet (Small (50cm X 70cm),Cotton,Salmon Rose)",4.3,"39,814",147,199
"Pampers Premium Care Pants, Large size baby diapers (L), 176 Count, Softest ever Pampers pants",4.2,35,"3,335","4,796"
Huggies Extra Small / New Born (XS / NB) Tape Baby Diapers (72 Count),4.2,"16,605","1,049","1,099"
Himalaya Anti-Dandruff Hair Cream | Removes & Prevents Dandruff | Non Sticky Oil Replacement Hair Cream | Soothes Scalp | ...,4,"1,405",89,100
Wowper Fresh Baby Diaper Pants | Large Size Diapers | Diapers with Wetness Indicator | Upto 10 Hrs Absorption | 9-14 Kg | ...,3.7,"3,383",541,798
Philips Avent My Bendy Straw Cup 300ml/10oz (12M+) (Assorted),4.2,"4,143",484,499
"Little Angel Extra Dry Baby Pants Diaper, Large (L) Size, 48 Count, Super Absorbent Core Up to 12 Hrs. Protection, Soft El...",4,"46,531",503,799
"DEVICO Rai Mustard Seeds Pillow with Lavender, Baby-Round Head Shaping Baby Pillow,Neck Support Pillow Gifting 0-12 Months...",4.5,"6,322",474,999
MamyPoko Pants Extra Absorb S52,4.4,11,534,799
"Luv Lap Steel Feeding Bottle,SS304 Steel, Rust Free Stainless Steel, Ergonomic Handle, BPA Free, Odour Free, Nipple has An...",4.1,"1,399",487,599
"Chicco Baby Moments Talcum Powder with Natural Ingredients, Soothes & Moisturises Baby’s Skin, Dermatologically Tested, Pa...",4.4,"2,290",185,189
"LuvLap Hippo Spout Sipper for Infant/Toddler, 225ml, Anti-Spill Sippy Cup with Soft Silicone Spout BPA Free, 6m+ (Pink)",4,"9,297",199,265
BabyChakra Moisturizing Natural Baby Sunscreen SPF 30+ PA+++ UVA/UVB Protection Non-Sticky & Water-Resistant (60gm),4.1,170,144,175
"Cetaphil Baby Daily Moisturizing Lotion 400ml with Organic Calendula for Face & Body, Moisturizer for Kids",4.5,"2,083","1,279","1,425"
"Colgate Kids Strawberry 40g Toothpaste, Cavity Protection",4.4,751,61,62
HARISTAR Scooter Style Baby Potty Seat with Wheel and Removable Tray for Kids | Available Wheel | Multi Color Scooter,3.9,"1,677",497,799
"Huggies Complete Comfort Wonder Pants, Small (S) Size Baby Diaper Pants, Combo Pack of 2, 56 count Per Pack, (112 count) w...",4.2,"2,15,914",979,"1,498"
The Moms Co. Everything for Baby with Suitcase Gift Box and 7 Skin and Hair Care New born Baby Products |Baby gift set for...,4.4,"1,843","1,679","2,399"
Odomos Non-Sticky Mosquito Repellent Cream With Vitamin E & Almond - 50 Gm,4.4,"1,243",50,55
Decals Design StickersKart Wall Stickers Kids Giraffe Height Chart Removable Large Vinyl (Multi-Colour),4.1,"6,420",197,664
ZHUQUA 12 PCS Edge Protector for Furniture Table Corner Guards for Sharp Edges Silicon Corner Protector for Sharp Edges Ge...,4.6,81,299,329
