name,ratings,no_of_ratings,discount_price,actual_price
FOKRIM Black Marble Self Adhesive Wall Stickers Oil-Proof Waterproof Peel & Stick Contact Wallpaper for Kitchen Living Roo...,3.5,315,213,499
"SAF Watercolor Modern Art Painting (Synthetic, 12 inch x 18 inch, Set of 3) SANFJMA9201-Multicolour",3.9,663,159,1199
Sohibe Multicolored Birds Handmade Hand Emboss Painted Bird Hanging for Garden Balcony Home Office Cafe Decoration Main Do...,4.5,49,459,999
"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Melanie (Silent Movement, Black Frame)",4,416,449,1100
SAF 6MM Ganesha Set of 3 Panel Digital Reprint 12 inch x 18 inch Painting SANFJM1003 Multicolor,4.3,433,199,899
"KUMAR INDUSTRIES Kumar Industries Wall Decorative Iron Flowers (Multicolour)(Artificial, 1.)",4.3,558,1900,2349
"S K D Pure Original Natural Loban (100 gm), Sambrani Benzoin Herbal Dhoop for Pooja, Hawan, Home Fragrance",3.4,25,55,299
Shubhkart Nirmal Raatrani Agarbatti Zipper and Rajanigandha Agarbatti Zipper - 9 Inch Long Sticks (Combo of 2),3.9,3,123,130
BHAJANLAL GREENERY Vastu Hawan Sambrani Cups for Holistic Atmosphere & Fresh Mind. (Pack of 24 Cups),3.5,132,184,200
Pure Source India Handcrafted Soapstone Aroma Burner Oil Diffuser and 1 Tea Light Candle (Natural) (Natural),4.1,1108,399,999
"Interio Crafts Iron Bird Lantern with Bells and Wall Stand, Lantern with T-Light and Diya Holder for Home and Garden Decor...",4.6,589,1299,1999
FARKRAFT White Donut Vase Ceramic Vase for Pampas Grass Home Decor Items for Living Room Bedroom Accessories Dried Flower ...,4.4,148,479,999
"Onlinetree 5 in 1 Rose, Sandal, Loban, Mogra, Pineapple Flavour Fragrance Agarbatti/Incense Sticks/for Pooja/Mandir 900 Gram",3.9,183,361,699
"SOFIX Beautiful Artificial Pink Flower Pot- 40cm (Pink), Artificial Flora",4.1,1130,259,799
THE NILGIRIS EUCALYPTUS OIL & ESSENTIAL OILS DISTILLERY TNEOEOD Pure and Natural Therapeutic Grade A Ooty Eucalyptus Oil 3...,4,598,206,300
Amazon Brand - Presto! Naphthalene Balls - 200 g (Pack of 10),4.3,85,729,1000
Collectible India Brass Diya Lamp Lotus Shape -Decorative Akhand Deepak for Pooja - Set of 2 (Gold_3 X 3 X 1.5 Inches),3.8,1079,279,499
Crafts World Wooden Home Decorative Wall Hanging | Printed Designer Wall Hanging | Home Decor | Wall Hanging For Living Ro...,4.2,370,179,999
"AIR-ROMA Combo of 2 Air Freshener Spray, Fragrance- Rose Original & Jasmine Flower (400ml)",3.9,169,279,498
"Decals Design 'Green Autumn Leaves Branch' Wall Sticker (PVC Vinyl, 50 cm x 70 cm, Green)",4.1,2446,129,664
3V PRODUCTS: Dasangam Powder 50g | Bhuvaneswari Dasangam Dhoop Powder for Pooja & Home,4.1,39,87,110
Baburao Fridge Magnet- Pack of 1 Bollywood Theme Fridge Magnets,4.5,76,135,399
HOKIPO® Eco-Friendly Bamboo Wooden Coasters for Home Pan Pot Holder for Dining Table Heat Pad for Kitchen - Pack of 4 (AR2...,4,321,279,449
"DESHABOINA VN Plastic Nazar Suraksha Kawach, Evil Eye Protector, Drishti Bommai, Nazar Battu (Large) for House, Office, Sh...",3.9,100,192,599
"Litleo Artificial Flowers with Wooden Pot (Yellow, 2 Piece)",3.8,304,269,549
"Pure Source India Aroma Essential Oils 9 Fragrances In 1 Pack, 10 Ml Each, (Fragrances: Lemon Grass, Lavender, Jasmine, Ro...",4,1870,549,999
Borosil Medium Brass Diffuser (Multicolour) (HDDBBSP0100),4.2,972,846,995
